input_image,bone_mask_image,TP,TN,FP,FN,recall,precision,FPR,FNR,PWC,Jaccard,Dice
dataset\inputs\input00573.dcm,dataset\bone_masks\mask00573.dcm,4246,257130,271,497,0.8952139995783259,0.9400044277175116,0.001052831962579788,0.10478600042167405,0.29296875,0.8468288791384123,0.9170626349892008
dataset\inputs\input00574.dcm,dataset\bone_masks\mask00574.dcm,4429,257044,352,319,0.9328138163437236,0.9263752353064213,0.001367542619154921,0.06718618365627632,0.2559661865234375,0.8684313725490196,0.9295833770595026
dataset\inputs\input00575.dcm,dataset\bone_masks\mask00575.dcm,4704,256832,286,322,0.935933147632312,0.942685370741483,0.0011123297474311406,0.06406685236768803,0.23193359375,0.8855421686746988,0.939297124600639
dataset\inputs\input00576.dcm,dataset\bone_masks\mask00576.dcm,5069,256483,218,374,0.9312878927062281,0.9587667864573483,0.0008492370501088815,0.06871210729377182,0.225830078125,0.8954248366013071,0.9448275862068966
dataset\inputs\input00577.dcm,dataset\bone_masks\mask00577.dcm,5138,256497,226,283,0.9477956096661133,0.9578672632363907,0.0008803262660532948,0.052204390333886734,0.1941680908203125,0.9098636444129627,0.9528048215113584
dataset\inputs\input00578.dcm,dataset\bone_masks\mask00578.dcm,4676,256822,245,401,0.921016348237148,0.9502133712660028,0.0009530589301621756,0.07898365176285208,0.246429443359375,0.8786170612551673,0.9353870774154831
dataset\inputs\input00579.dcm,dataset\bone_masks\mask00579.dcm,4700,256689,471,284,0.9430176565008026,0.9089151034616129,0.0018315445636957535,0.05698234349919743,0.2880096435546875,0.8615948670944089,0.9256523879862137
dataset\inputs\input00580.dcm,dataset\bone_masks\mask00580.dcm,2949,258686,242,267,0.9169776119402985,0.9241617047947351,0.0009346227522709016,0.0830223880597015,0.1941680908203125,0.8528050896471949,0.9205556422662713
dataset\inputs\input00581.dcm,dataset\bone_masks\mask00581.dcm,5319,256088,605,132,0.9757842597688497,0.8978730587440918,0.0023569010452174385,0.024215740231150248,0.2811431884765625,0.8783025099075297,0.9352087912087912
dataset\inputs\input00582.dcm,dataset\bone_masks\mask00582.dcm,5480,256118,377,169,0.9700832005664719,0.9356325764043025,0.0014698142263981754,0.029916799433528058,0.208282470703125,0.9093926319283107,0.9525464974795759
